关键词,名称,sal,d,d1,d2
"计算机
sql
wms
物流
python
货运
做五休二
周末双休
带薪年假
五险一金
绩效奖金
节日福利
专业培训",IT程序员（SQL&Python）,1-1.5万·13薪,上海·长宁区,2年,大专
"五险一金
补充医疗保险
专业培训
弹性工作
定期体检",Planning and Forecasting Python Developer,1.5-2.8万,广州·越秀区,无需经验,本科
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"五险一金
员工旅游
年终奖金
绩效奖金",大数据开发工程师（python）,1.2-1.8万·13薪,无锡·新吴区,2年,本科
"python
软件开发
软件工程师
开发工程师
工程师
开发
eda
五险一金
员工旅游
绩效奖金
年终奖金
股票期权
弹性工作",Python开发工程师,8千-1.3万·13薪,杭州·钱塘区,无需经验,本科
"python
五险一金
专业培训
年终奖金
弹性工作
定期体检
交通补贴
餐饮补贴
补充医疗保险",Python开发工程师,1.2-2万,杭州·滨江区,1年,本科
"python
mongodb
redis
mysql
计算机
django
flask
带薪年假
免费班车
五险二金
定期体检
补充医疗保险",企业信息中心Python开发工程师,1-1.5万,深圳·南山区,1年,硕士
"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检",Python开发工程师 (MJ000280),1.2-2万,北京·朝阳区,无需经验,本科
"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",Python开发工程师,1.2-2.4万·13薪,无锡·新吴区,1年,本科
"Pipeline
TD
软件工程师
python
C++
软件开发
软件
五险一金
专业培训
出国机会
绩效奖金
年终奖金",软件工程师Python/Linux/C/C++/Pipeline TD工程师,10-11万/年,武汉·洪山区,5-7年,本科
"五险一金
员工旅游
绩效奖金
年终奖金
股票期权
专业培训",Python开发工程师,1-2万,长沙·岳麓区,3-4年,本科
"五险一金
专业培训
绩效奖金
年终奖金
周末双休
带薪年假",Python程序员,8千-1.5万,广东省,2年,大专
Python,高级Python开发工程师（调度方-J156443,2-3.5万,深圳·坪山区,3-4年,本科
"labview
python
C语言
绩效奖金
年终奖金
五险一金
交通补贴","Labview,Python,C 软件工程师",7-9千,武汉·东湖新技术产业开发区,3-4年,本科
"Python
图像AI
linux
深度学习框架
深度学习模型
五险一金
周末双休",算法工程师（Python，图像AI）,1-2万,广州·天河区,1年,本科
"开发
代码编写
python
web应用
编程
五险一金
免费班车
餐饮补贴
绩效奖金
年终奖金
定期体检
带薪寒暑假
节假日福利",python开发-web系统编程工程师,6-9千·13薪,长沙·宁乡市,1年,本科
"机器学习
计算机科学
数据预处理
数据集
特征工程
python
自然语言处理
技术支持
数据采集
留学经历
带薪年假
五险一金
绩效奖金
节日福利
专业培训
团队活动
年终奖金
周末双休
包吃
包住宿",Python开发工程师,1-1.5万·13薪,广州,1年,本科
"微服务架构
容器技术
服务器配置
分布式技术
员工旅游
绩效奖金
定期体检
餐饮补贴
五险一金
年终奖金
通讯补贴
节日福利
周末双休
高温补贴",Python架构师,2.5-3万,上海·徐汇区,3-4年,本科
"数据库
项目管理
erp
生产制造
Python
WMS
五险
员工旅游
专业培训
定期体检
提供食宿
年终奖金
公司团建
生日礼品",软件工程师（Python）,1-1.5万,佛山·南海区,3-4年,大专
"测试
计算机
自动化工程
sql
java
mysql
开发
开发语言
oracle
python
专业培训
定期体检
五险一金",测试开发/接受python转测试,1.4-1.7万,广州·海珠区,3-4年,本科
"测试
python
开发
css
六险一金
下午茶
周末双休
免费班车
绩效奖金
包餐",Python全栈开发工程师,1.2-1.8万,上海,2年,本科
"python
aws
iOS
测试
日语
软件开发
软件工程师
五险一金
带薪年假
加班补贴
节日礼品",对日软件工程师（Python、iOS）,6千-1.2万,大连·高新园区,2年,大专
"python/R
AI
AI智能
tensflow
pytorch
RNN/
LSTM
五险一金
免费班车
绩效奖金
年终奖金
专业培训
餐饮补贴
补充医疗保险
弹性工作
定期体检
员工旅游",AI Engineer（AI工程师）,2.5-3.5万/年,广州,10年以上,本科
"java
数据库
开发
消息中间件
go
代码重构
工具开发
数据库sql
python
五险一金
双休",java、python、go,1-1.4万,深圳·南山区,3-4年,大专
"c++
Python
培训机构
编程老师
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",编程讲师（c++/python）,7-9千·13薪,广州·天河区,1年,大专
,Python教师,8千-1万,武汉·江夏区,3-4年,本科
"python
golang
后端开发
五险一金
定期体检
绩效奖金
餐饮补贴
提供住宿
节日福利",高级后端工程师,1.7-2.8万·13薪,上海·闵行区,5-7年,本科
"计算机
jquery
linux
css
html
javascript
git
编程
前端开发
web
专业培训
员工旅游
年终奖金
定期体检
社会保险
绩效奖金",Python开发工程师,7-8千,武汉·东湖新技术产业开发区,1年,大专
"教学
计算机
备课
教研
编程
数学
理工科
课程顾问
数据结构算法
课程开发
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",少儿编程老师（python老师）,1.2-2万·14薪,广州·天河区,1年,本科
"c++
深度学习
算法设计
python编程
模型训练
环境开发
语音唤醒
kaldi
模型量化
带薪年假
绩效奖金
全勤奖
节日福利
专业培训
五险一金",AI算法工程师,2-4万·13薪,深圳·龙岗区,3-4年,硕士
"python
c++
pytorch
tensorflow
MXNet
opencv
TensorRT
系统建模
机器学习
深度学习算法
五险一金
绩效奖金
年终奖金
定期体检
通讯补贴
餐饮补贴
专业培训",高级算法工程师,1-1.5万,宁波·鄞州区,1年,本科
五险一金,IT数字化项目管理(精通Python)-流程改善,1.2-1.3万,上海,2年,本科
"c#
go
云端
python
单元测试
kubernetes
linux
数据库设计
系统架构设计
javascript
五险一金
周末双休
节日福利
带薪年假
定期体检
员工旅游",Python后端开发工程师,1.2-2.5万,深圳·南山区,3-4年,大专
"爬虫
java
数据库
数据解析
网页爬虫
反爬
动态数据
风控
技术研发
mongodb
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",python开发工程师(项目经理）,2.5-4万,深圳·光明区,3-4年,本科
"c++
tensorflow
nlp
算法研发
cv
多模态
推理优化
pytorch
python
五险一金
年终奖金
交通补贴
餐饮补贴
员工旅游
专业培训
定期体检",多模态算法工程师,1-2万,南昌·红谷滩新区,1年,本科
"测试
日语
django
python3
flask
开发框架
pytest
五险一金
补充医疗保险
免费班车
出国机会
年终奖金
定期体检",后端python开发工程师,9千-1.2万,大连·高新园区,5-7年,本科
"计算机
mysql
数据库
css
html
javascript
开发
前端
编程
前端开发
五险一金
弹性工作",Python开发工程师,1.1-1.6万,武汉·洪山区,2年,本科
"sql
开发
文档编写
大数据
建模
写作
数据挖掘
数据清洗
效果评估
pandas
五险一金
补充医疗保险
年终奖金
通讯补贴
绩效奖金
定期体检
专业培训
交通补贴",Python数据分析师,1.5-2.1万,上海·浦东新区,5-7年,大专
"mysql
linux
sql
编码习惯
django
代码规范
flask
fastapi
gitflow
开发框架
五险一金
专业培训
绩效奖金
弹性工作",Python后台开发工程师（北京）,1.3-1.8万,北京,3-4年,本科
"爬虫
python
scrape
舆情
抖音
快手
五险一金
绩效奖金
专业培训
节假日福利",Python爬虫工程师,8千-1.4万,南京·雨花台区,1年,本科
"计算机
mysql
oracle
数据库
linux
测试
redis
软件开发
单元测试
编码
五险一金
员工旅游
绩效奖金
弹性工作
定期体检
节日福利
文体活动",高级Python开发工程师,2-2.5万,深圳·南山区,8-9年,大专
"2d
python编程
pyqt
qt
五险一金",图形库开发-python方向,1-1.6万,武汉,2年,本科
python,Python开发工程师-J908046,1.5-2.5万·13薪,深圳·坪山区,3-4年,本科
五险一金,Python开发工程师（庚坊）,1.4-1.8万·13薪,北京,3-4年,本科
"python
测试开发",测试开发-python,1.4-1.8万,上海·浦东新区,2年,本科
"java
requests
mybatis
spring
css
mongodb
xpath
js
html
mysql
五险一金
租房补贴
餐饮补贴
周末双休",Python工程师,1-1.5万,南京·雨花台区,2年,本科
"五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检
双休",Python开发工程师,1-2万,广州·天河区,2年,本科
五险一金,自动化网络Python开发工程师,1.5-1.8万·13薪,北京,3-4年,本科
"Python
Spark
PySpark
SparkSQL
SQL
12天年假
补充医疗保险
定期体检",Data Engineer,1.5-2.3万·13薪,大连·高新园区,5-7年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"编程
自动化测试
selenium
测试环境
英语读写
测试流程
junit
执行测试
pytest
测试策略
五险一金
补充医疗保险
免费班车
餐饮补贴
绩效奖金
弹性工作
定期体检
专业培训",Python自动化测试,9千-1.4万,东莞·寮步镇,2年,本科
"python
互联网百强",Python开发工程师,9千-1.8万·14薪,广州·黄埔区,无需经验,
"python
工程师
五险一金
周末双休
股票期权",Python后端工程师+五险一金,2-4万,北京·大兴区,3-4年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"Python
flask
SQLite
SQLServer
数据库
亚马逊
英语
五险一金
专业培训
工作稳定
带薪年假",Python全栈工程师,2.3-2.8万,深圳,3-4年,大专
"测试
软件测试
自动化测试
脚本开发
自动化开发
五险一金
弹性工作
年终奖金",Python自动化测试工程师,1-1.5万,武汉·江夏区,2年,本科
"计算机
数据分析
亚马逊
爬虫
rpa
数据抓取
独立站
爬取
python爬虫
解析入库
五险一金
通讯补贴
专业培训
年终奖金
绩效奖金
员工旅游
定期体检
股票期权
朝九晚六
带薪年假",数据分析/python爬虫,7千-1万,广州·白云区,2年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"Python
flask
SQLite
SQLServer
数据库
亚马逊
英语
五险一金
专业培训
工作稳定
带薪年假",Python全栈工程师,2.3-2.8万,深圳,3-4年,大专
"mysql
redis
docker
kafka
大数据
中间件
hive
spark
算法
hbase
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
年终奖金
定期体检
弹性工作
专业培训
双休",Python开发（中信入职六险一金）,1.7-2万,北京·朝阳区,5-7年,本科
"计算机
开发
软件
人工智能
项目
内部管理系统
python
绩效奖金
年终奖金
弹性工作
餐饮补贴
五险",软件工程师（全栈）,7千-1.2万,绍兴·柯桥区,3-4年,本科
"教学
计算机
数据分析
excel
授课
教学方法
数学
软件
课程辅导
数据挖掘
五险一金
年终奖金
16天带薪年假
专业培训
定期体检
节日福利",python高级讲师,1.2-2万,广州·白云区,3-4年,大专
"Python
flask
SQLite
SQLServer
数据库
亚马逊
英语
五险一金
专业培训
工作稳定
带薪年假",Python全栈工程师,2.3-2.8万,深圳,3-4年,大专
"python
软件工程师
五险一金
免费班车
员工旅游
交通补贴
专业培训
绩效奖金
年终奖金
定期体检
宿舍",Python全栈工程师,1.5-2万·13薪,东莞,5-7年,大专
"数据库
数据分析
sql
技术文档
数据开发
统计学原理
机器学习算法
对接需求
模型建设
文稿撰写
弹性工作
餐饮补贴
专业培训
定期体检
通讯补贴",Python数据分析师,1-1.4万,福州·鼓楼区,3-4年,本科
"节日福利
绩效奖金
员工旅游
工作氛围好
五险
购房福利",Python开发工程师,8千-1.6万,长沙·芙蓉区,1年,本科
"mysql
oracle
数据库
linux
django
flask
后端框架
python编程
容器技术
fastapi
五险一金
员工旅游
专业培训
定期体检
绩效奖金",Python开发（基金，双休）,1.2-1.8万,广州·海珠区,3-4年,本科
"python
软件工程师
五险一金
免费班车
员工旅游
交通补贴
专业培训
绩效奖金
年终奖金
定期体检
宿舍",Python全栈工程师,1.5-2万·13薪,东莞,5-7年,大专
"商机挖掘
数据分析
精准营销
python
excel
sql
带薪年假
绩效奖金
节日福利
交通补贴
五险一金
正式编制
通讯补贴
餐饮补贴
旅游补贴
探亲假",商机管理岗(J12380),2.5-3.5万,杭州·上城区,3-4年,本科
"英语工作语言
全栈
前端
后端
java
python
五险一金
补充医疗保险
交通补贴
年终奖金
专业培训
弹性工作
补充公积金
通讯补贴
定期体检",Software Developer 软件开发,2-3万·13薪,上海·闵行区,5-7年,本科
"基本面研究
股票分析
数学建模
金融工程
数学
编程
python
五险一金
专业培训
绩效奖金
年终奖金",系统化基本面研究员,1.5-2.5万,深圳·福田区,1年,硕士
"python
软件工程师
五险一金
免费班车
员工旅游
交通补贴
专业培训
绩效奖金
年终奖金
定期体检
宿舍",Python全栈工程师,1.5-2万·13薪,东莞,5-7年,大专
"mysql
数据库
测试
css
html
需求分析
项目管理
redis
前端
编程
五险",python网站开发全栈,1.7-3.3万,成都·高新区,3-4年,本科
"五险一金
交通补贴
通讯补贴
年终奖金
提供吃住
绩效奖金
员工旅游
定期体检
专业培训",Python 数据分析师,1.5-2万,金华·婺城区,3-4年,大专
